Category,Mohave
Total_doses_administered,163143
Total_people_one_dose,93085
Total_people_complete,77687
Total_doses_ordered,134660
total_pouluation,216985
Male-65 years and older,22079
Male-55-64 years,8738
Male-45-54 years,4564
Male-20-44 years,7707
Male-Less than 20 years,1463
Female-65 years and older,24618
Female-55-64 years,10143
Female-45-54 years,4861
Female-20-44 years,7166
Female-Less than 20 years,1584
"Black or African American, non-Hispanic",664
"American Indian or Alaska Native, non-Hispanic",968
"Asian or Pacific Islander, non-Hispanic",1348
Hispanic or Latino,6737
Unknown,15874
Other Race,16272
"White, non-Hispanic",51222
