Category,Santa Cruz
Total_doses_administered,72766
Total_people_one_dose,40519
Total_people_complete,36415
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3654
Male-55-64 years,2674
Male-45-54 years,3124
Male-20-44 years,8015
Male-Less than 20 years,2726
Female-65 years and older,4425
Female-55-64 years,2706
Female-45-54 years,2972
Female-20-44 years,7406
Female-Less than 20 years,2747
"American Indian or Alaska Native, non-Hispanic",19
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",99
Other Race,2066
Unknown,2368
"White, non-Hispanic",4908
Hispanic or Latino,31023
