Category,Maricopa
Total_doses_administered,3225997
Total_people_one_dose,1831896
Total_people_complete,1590849
Total_doses_ordered,1670401
total_pouluation,4367835
Male-65 years and older,186765
Male-55-64 years,131758
Male-45-54 years,132720
Male-20-44 years,312834
Male-Less than 20 years,87810
Female-65 years and older,241417
Female-55-64 years,151589
Female-45-54 years,146508
Female-20-44 years,338407
Female-Less than 20 years,90220
"American Indian or Alaska Native, non-Hispanic",39230
"Black or African American, non-Hispanic",71591
"Asian or Pacific Islander, non-Hispanic",83954
Unknown,179581
Other Race,280776
Hispanic or Latino,340170
"White, non-Hispanic",836594
