Category,Coconino
Total_doses_administered,160760
Total_people_one_dose,88160
Total_people_complete,79116
Total_doses_ordered,99988
total_pouluation,147275
Male-65 years and older,7972
Male-55-64 years,6206
Male-45-54 years,5629
Male-20-44 years,17558
Male-Less than 20 years,4205
Female-65 years and older,9061
Female-55-64 years,6882
Female-45-54 years,5729
Female-20-44 years,19929
Female-Less than 20 years,4873
"Black or African American, non-Hispanic",707
"Asian or Pacific Islander, non-Hispanic",1427
Hispanic or Latino,6503
Other Race,10207
Unknown,17103
"American Indian or Alaska Native, non-Hispanic",17931
"White, non-Hispanic",34282
