Category,Navajo
Total_doses_administered,79835
Total_people_one_dose,44833
Total_people_complete,38064
Total_doses_ordered,44300
total_pouluation,112825
Male-65 years and older,7089
Male-55-64 years,3688
Male-45-54 years,2640
Male-20-44 years,5555
Male-Less than 20 years,3191
Female-65 years and older,7785
Female-55-64 years,3943
Female-45-54 years,2638
Female-20-44 years,4944
Female-Less than 20 years,3325
"Black or African American, non-Hispanic",230
"Asian or Pacific Islander, non-Hispanic",427
Unknown,2296
Hispanic or Latino,2349
Other Race,8488
"White, non-Hispanic",15131
"American Indian or Alaska Native, non-Hispanic",15912
