Category,Yavapai
Total_doses_administered,196356
Total_people_one_dose,112189
Total_people_complete,94273
Total_doses_ordered,173670
total_pouluation,232386
Male-65 years and older,24367
Male-55-64 years,8731
Male-45-54 years,5147
Male-20-44 years,10147
Male-Less than 20 years,2204
Female-65 years and older,30388
Female-55-64 years,11162
Female-45-54 years,5993
Female-20-44 years,10285
Female-Less than 20 years,2451
"Black or African American, non-Hispanic",621
"American Indian or Alaska Native, non-Hispanic",1148
"Asian or Pacific Islander, non-Hispanic",1473
Hispanic or Latino,7220
Other Race,17262
Unknown,27635
"White, non-Hispanic",56830
