Category,Gila
Total_doses_administered,53735
Total_people_one_dose,25686
Total_people_complete,22740
total_pouluation,25686
Male-65 years and older,5741
Male-55-64 years,2208
Male-45-54 years,1244
Male-20-44 years,2362
Male-Less than 20 years,672
Female-65 years and older,6156
Female-55-64 years,2583
Female-45-54 years,1392
Female-20-44 years,2532
Female-Less than 20 years,738
"Black or African American, non-Hispanic",88
"Asian or Pacific Islander, non-Hispanic",204
Hispanic or Latino,1402
"American Indian or Alaska Native, non-Hispanic",2624
Other Race,4085
Unknown,4562
"White, non-Hispanic",12721
