Category,Navajo
Total_doses_administered,96108
Total_people_one_dose,48134
Total_people_complete,40112
total_pouluation,48134
Male-65 years and older,7237
Male-55-64 years,3535
Male-45-54 years,2659
Male-20-44 years,5678
Male-Less than 20 years,4186
Female-65 years and older,8182
Female-55-64 years,4055
Female-45-54 years,2668
Female-20-44 years,5582
Female-Less than 20 years,4317
"Black or African American, non-Hispanic",201
"Asian or Pacific Islander, non-Hispanic",349
Unknown,2218
Hispanic or Latino,2415
Other Race,6228
"White, non-Hispanic",15793
"American Indian or Alaska Native, non-Hispanic",20930
