Category,Pinal
Total_doses_administered,492873
Total_people_one_dose,246320
Total_people_complete,217246
total_pouluation,246320
Male-65 years and older,36212
Male-55-64 years,18088
Male-45-54 years,16575
Male-20-44 years,37652
Male-Less than 20 years,11741
Female-65 years and older,41737
Female-55-64 years,20415
Female-45-54 years,16856
Female-20-44 years,34691
Female-Less than 20 years,11605
"Asian or Pacific Islander, non-Hispanic",5010
"Black or African American, non-Hispanic",8963
"American Indian or Alaska Native, non-Hispanic",9383
Unknown,29264
Other Race,30587
Hispanic or Latino,39608
"White, non-Hispanic",123505
