Category,Yuma
Total_doses_administered,294119
Total_people_one_dose,151268
Total_people_complete,125092
total_pouluation,151268
Male-65 years and older,15741
Male-55-64 years,10140
Male-45-54 years,9034
Male-20-44 years,27390
Male-Less than 20 years,11509
Female-65 years and older,18253
Female-55-64 years,10840
Female-45-54 years,9948
Female-20-44 years,25895
Female-Less than 20 years,11964
"Black or African American, non-Hispanic",804
"American Indian or Alaska Native, non-Hispanic",1145
"Asian or Pacific Islander, non-Hispanic",1177
Other Race,17736
Unknown,28393
"White, non-Hispanic",33164
Hispanic or Latino,68849
