Category,Apache
Total_doses_administered,57327
Total_people_one_dose,28356
Total_people_complete,22331
total_pouluation,28356
Male-65 years and older,2742
Male-55-64 years,2000
Male-45-54 years,1593
Male-20-44 years,3751
Male-Less than 20 years,3775
Female-65 years and older,3299
Female-55-64 years,2130
Female-45-54 years,1558
Female-20-44 years,3662
Female-Less than 20 years,3838
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",128
Hispanic or Latino,560
Unknown,1094
Other Race,1104
"White, non-Hispanic",3595
"American Indian or Alaska Native, non-Hispanic",21816
