Category,Coconino
Total_doses_administered,193569
Total_people_one_dose,92665
Total_people_complete,81017
total_pouluation,92665
Male-65 years and older,9292
Male-55-64 years,6267
Male-45-54 years,5707
Male-20-44 years,16866
Male-Less than 20 years,5709
Female-65 years and older,10490
Female-55-64 years,7052
Female-45-54 years,5802
Female-20-44 years,19238
Female-Less than 20 years,5979
"Black or African American, non-Hispanic",763
"Asian or Pacific Islander, non-Hispanic",1566
Hispanic or Latino,6908
Other Race,8507
Unknown,12808
"American Indian or Alaska Native, non-Hispanic",22009
"White, non-Hispanic",40104
