Category,Santa Cruz
Total_doses_administered,103857
Total_people_one_dose,54291
Total_people_complete,43714
total_pouluation,54291
Male-65 years and older,4630
Male-55-64 years,3217
Male-45-54 years,3364
Male-20-44 years,8930
Male-Less than 20 years,5856
Female-65 years and older,5588
Female-55-64 years,3501
Female-45-54 years,3636
Female-20-44 years,9207
Female-Less than 20 years,6281
"Black or African American, non-Hispanic",55
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",184
Other Race,3434
Unknown,3654
"White, non-Hispanic",7401
Hispanic or Latino,39507
