Category,Greenlee
Total_doses_administered,8852
Total_people_one_dose,4264
Total_people_complete,3714
total_pouluation,4264
Male-65 years and older,508
Male-55-64 years,368
Male-45-54 years,323
Male-20-44 years,773
Male-Less than 20 years,195
Female-65 years and older,509
Female-55-64 years,316
Female-45-54 years,320
Female-20-44 years,748
Female-Less than 20 years,202
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",50
Other Race,86
"American Indian or Alaska Native, non-Hispanic",116
Unknown,307
"White, non-Hispanic",1749
Hispanic or Latino,1913
