Category,Arizona
Total_doses_administered,9187694
Total_people_complete,439928
total_pouluation,7189020
Total_people_one_dose,4531253
Male-65 years and older,556426
Male-55-64 years,323611
Male-45-54 years,292191
Male-20-44 years,723309
Male-Less than 20 years,244693
Female-65 years and older,678440
Female-55-64 years,368670
Female-45-54 years,315412
Female-20-44 years,756626
Female-Less than 20 years,252102
"Black or African American, non-Hispanic",136244
"Asian or Pacific Islander, non-Hispanic",172139
"American Indian or Alaska Native, non-Hispanic",192151
Unknown,414481
Other Race,654592
Hispanic or Latino,831043
"White, non-Hispanic",2130603
