Category,La Paz
Total_doses_administered,17001
Total_people_one_dose,8642
Total_people_complete,7423
total_pouluation,8642
Male-65 years and older,2350
Male-55-64 years,601
Male-45-54 years,318
Male-20-44 years,656
Male-Less than 20 years,318
Female-65 years and older,2382
Female-55-64 years,719
Female-45-54 years,367
Female-20-44 years,582
Female-Less than 20 years,331
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",492
Other Race,1140
Hispanic or Latino,1273
Unknown,1783
"White, non-Hispanic",3827
