Category,Pinal
Total_doses_administered,200007
Total_people_one_dose,122469
Total_people_complete,88138
Total_doses_ordered,182250
total_pouluation,455210
Male-65 years and older,26209
Male-55-64 years,10296
Male-45-54 years,7958
Male-20-44 years,15030
Male-Less than 20 years,769
Female-65 years and older,30031
Female-55-64 years,11284
Female-45-54 years,7437
Female-20-44 years,11999
Female-Less than 20 years,906
"Asian or Pacific Islander, non-Hispanic",0.0130155386261013
"Black or African American, non-Hispanic",0.018494476153149
"American Indian or Alaska Native, non-Hispanic",0.046215777053785
Other Race,0.0872955605091901
Hispanic or Latino,0.1305799835060301
Unknown,0.3003943855179678
"White, non-Hispanic",0.4040042786337767
