,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2831918,1366464,15547,81722,117053,38368,14703,7809,14367,1749610,101379,41867,645778,200007,41190,148186,131073
Total_people_one_dose,2831918,793449,8993,49674,65969,22417,8846,4444,8332,1077958,63917,25360,386983,122469,24990,87891,80226
Total_people_complete,2097158,,,,,,,,,,,,,,,,
Total_doses_ordered,4335320,,,,,,,,,,,,,,,,
65 years and older,569296,,,,,,,,,,,,,,,,
55-64 years,283359,,,,,,,,,,,,,,,,
45-54 years,205741,,,,,,,,,,,,,,,,
20-44 years,430701,,,,,,,,,,,,,,,,
Less than 20 years,46124,,,,,,,,,,,,,,,,
65 years and older,87891,,,,,,,,,,,,,,,,
55-64 years,234718,,,,,,,,,,,,,,,,
45-54 years,176998,,,,,,,,,,,,,,,,
20-44 years,378734,,,,,,,,,,,,,,,,
Less than 20 years,39428,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",62296,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",66846,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",102838,,,,,,,,,,,,,,,,
Hispanic or Latino,354926,,,,,,,,,,,,,,,,
Unknown,391707,,,,,,,,,,,,,,,,
Other Race,485259,,,,,,,,,,,,,,,,
"White, non-Hispanic",1368046,,,,,,,,,,,,,,,,
