Category,Greenlee
Total_doses_administered,7809
Total_people_one_dose,4444
Total_people_complete,3604
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,519
Male-55-64 years,559
Male-45-54 years,451
Male-20-44 years,905
Male-Less than 20 years,39
Female-65 years and older,504
Female-55-64 years,398
Female-45-54 years,354
Female-20-44 years,675
Female-Less than 20 years,38
"Black or African American, non-Hispanic",0.0092259225922592
"Asian or Pacific Islander, non-Hispanic",0.0101260126012601
"American Indian or Alaska Native, non-Hispanic",0.0171017101710171
Other Race,0.0191269126912691
Unknown,0.0852835283528353
"White, non-Hispanic",0.4156165616561656
Hispanic or Latino,0.4435193519351936
