,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1339829,290977,6576,21494,40237,12052,4936,3719,3728,533614,22060,17673,214884,56586,10584,49066,31457
Total_people_one_dose,1001076,229934,5034,16847,30960,9601,3625,3068,3304,385049,17021,12886,161817,43924,8799,43994,25213
Total_people_complete,332071,67991,,,,,,,,,,,,,,,
Total_doses_ordered,1395300,333697,,,,,,,,,,,,,,,
65 years and older,291668,82289,,,,,,,,,,,,,,,
55-64 years,73962,12545,,,,,,,,,,,,,,,
45-54 years,69208,10691,,,,,,,,,,,,,,,
20-44 years,145056,21355,,,,,,,,,,,,,,,
Less than 20 years,4451,695,,,,,,,,,,,,,,,
65 years and older,236904,71514,,,,,,,,,,,,,,,
55-64 years,45546,8064,,,,,,,,,,,,,,,
45-54 years,43660,7561,,,,,,,,,,,,,,,
20-44 years,85225,13693,,,,,,,,,,,,,,,
Less than 20 years,2783,472,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2262,415,,,,,,,,,,,,,,,
Black or African American,14640,1103,,,,,,,,,,,,,,,
Asian,22593,3195,,,,,,,,,,,,,,,
American Indian or Alaska Native,30843,5758,,,,,,,,,,,,,,,
Hispanic or Latino,80899,8458,,,,,,,,,,,,,,,
Other Race/Unknown,365492,67742,,,,,,,,,,,,,,,
White,485724,143378,,,,,,,,,,,,,,,
