Category,Gila
Total_doses_administered,60708
Total_people_one_dose,27267
Total_people_complete,23886
total_pouluation,27267
Male-65 years and older,5979
Male-55-64 years,2266
Male-45-54 years,1299
Male-20-44 years,2577
Male-Less than 20 years,930
Female-65 years and older,6349
Female-55-64 years,2664
Female-45-54 years,1446
Female-20-44 years,2743
Female-Less than 20 years,958
"Black or African American, non-Hispanic",96
"Asian or Pacific Islander, non-Hispanic",224
Hispanic or Latino,1588
"American Indian or Alaska Native, non-Hispanic",2973
Other Race,4383
Unknown,4550
"White, non-Hispanic",13453
