Category,Coconino
Total_doses_administered,212488
Total_people_one_dose,93999
Total_people_complete,82904
total_pouluation,93999
Male-65 years and older,8441
Male-55-64 years,6062
Male-45-54 years,5782
Male-20-44 years,17576
Male-Less than 20 years,6892
Female-65 years and older,9453
Female-55-64 years,6736
Female-45-54 years,5756
Female-20-44 years,20054
Female-Less than 20 years,7069
"Black or African American, non-Hispanic",827
"Asian or Pacific Islander, non-Hispanic",1725
Hispanic or Latino,7630
Other Race,8059
Unknown,11365
"American Indian or Alaska Native, non-Hispanic",24053
"White, non-Hispanic",40340
