Category,Mohave
Total_doses_administered,201656
Total_people_one_dose,94717
Total_people_complete,79870
total_pouluation,94717
Male-65 years and older,21892
Male-55-64 years,8571
Male-45-54 years,4505
Male-20-44 years,8030
Male-Less than 20 years,2082
Female-65 years and older,23902
Female-55-64 years,9926
Female-45-54 years,5040
Female-20-44 years,8281
Female-Less than 20 years,2307
"Black or African American, non-Hispanic",673
"American Indian or Alaska Native, non-Hispanic",789
"Asian or Pacific Islander, non-Hispanic",1467
Hispanic or Latino,7879
Unknown,11706
Other Race,14843
"White, non-Hispanic",57360
