Category,Yavapai
Total_doses_administered,281781
Total_people_one_dose,128697
Total_people_complete,109118
total_pouluation,128697
Male-65 years and older,28492
Male-55-64 years,10076
Male-45-54 years,5508
Male-20-44 years,11292
Male-Less than 20 years,3319
Female-65 years and older,34374
Female-55-64 years,12700
Female-45-54 years,6560
Female-20-44 years,11473
Female-Less than 20 years,3669
"Black or African American, non-Hispanic",647
"American Indian or Alaska Native, non-Hispanic",1546
"Asian or Pacific Islander, non-Hispanic",1660
Hispanic or Latino,9236
Other Race,19020
Unknown,19059
"White, non-Hispanic",77529
