Category,Cochise
Total_doses_administered,189896
Total_people_one_dose,90808
Total_people_complete,75066
total_pouluation,90808
Male-65 years and older,12025
Male-55-64 years,6020
Male-45-54 years,4812
Male-20-44 years,12956
Male-Less than 20 years,7178
Female-65 years and older,14038
Female-55-64 years,7103
Female-45-54 years,5399
Female-20-44 years,13726
Female-Less than 20 years,7448
"American Indian or Alaska Native, non-Hispanic",388
"Asian or Pacific Islander, non-Hispanic",1591
"Black or African American, non-Hispanic",1701
Unknown,10985
Other Race,12724
Hispanic or Latino,28209
"White, non-Hispanic",35210
