Category,Maricopa
Total_doses_administered,3012247
Total_people_one_dose,1724516
Total_people_complete,1480037
Total_doses_ordered,1598808
total_pouluation,4367835
Male-65 years and older,180436
Male-55-64 years,126578
Male-45-54 years,125186
Male-20-44 years,288945
Male-Less than 20 years,78056
Female-65 years and older,233965
Female-55-64 years,145987
Female-45-54 years,139109
Female-20-44 years,313811
Female-Less than 20 years,80650
"American Indian or Alaska Native, non-Hispanic",36405
"Black or African American, non-Hispanic",66302
"Asian or Pacific Islander, non-Hispanic",80862
Unknown,170651
Other Race,264328
Hispanic or Latino,312154
"White, non-Hispanic",793814
