Category,Apache
Total_doses_administered,32353
Total_people_one_dose,18230
Total_people_complete,11856
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1930
Male-55-64 years,1282
Male-45-54 years,995
Male-20-44 years,2417
Male-Less than 20 years,2457
Female-65 years and older,2034
Female-55-64 years,1397
Female-45-54 years,990
Female-20-44 years,2173
Female-Less than 20 years,2545
"Asian or Pacific Islander, non-Hispanic",163
"Black or African American, non-Hispanic",278
Unknown,1012
Other Race,1226
Hispanic or Latino,1787
"White, non-Hispanic",3189
"American Indian or Alaska Native, non-Hispanic",10575
