Category,Greenlee
Total_doses_administered,8538
Total_people_one_dose,4873
Total_people_complete,4257
Total_doses_ordered,10040
total_pouluation,10375
Male-65 years and older,553
Male-55-64 years,602
Male-45-54 years,493
Male-20-44 years,1036
Male-Less than 20 years,57
Female-65 years and older,529
Female-55-64 years,415
Female-45-54 years,373
Female-20-44 years,762
Female-Less than 20 years,50
"Black or African American, non-Hispanic",46
"Asian or Pacific Islander, non-Hispanic",49
"American Indian or Alaska Native, non-Hispanic",87
Other Race,134
Unknown,401
"White, non-Hispanic",2019
Hispanic or Latino,2137
