Category,Navajo
Total_doses_administered,75980
Total_people_one_dose,42779
Total_people_complete,36475
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6852
Male-55-64 years,3548
Male-45-54 years,2497
Male-20-44 years,5260
Male-Less than 20 years,3004
Female-65 years and older,7532
Female-55-64 years,3797
Female-45-54 years,2522
Female-20-44 years,4605
Female-Less than 20 years,3128
"Black or African American, non-Hispanic",220
"Asian or Pacific Islander, non-Hispanic",405
Unknown,2160
Hispanic or Latino,2213
Other Race,8208
"White, non-Hispanic",14247
"American Indian or Alaska Native, non-Hispanic",15326
