Category,Pinal
Total_doses_administered,311891
Total_people_one_dose,178926
Total_people_complete,157190
Total_doses_ordered,197908
total_pouluation,455210
Male-65 years and older,29884
Male-55-64 years,13742
Male-45-54 years,12732
Male-20-44 years,29168
Male-Less than 20 years,5502
Female-65 years and older,34266
Female-55-64 years,14644
Female-45-54 years,11444
Female-20-44 years,21394
Female-Less than 20 years,5557
"Asian or Pacific Islander, non-Hispanic",3224
"Black or African American, non-Hispanic",5065
"American Indian or Alaska Native, non-Hispanic",8599
Other Race,19119
Hispanic or Latino,28179
Unknown,36287
"White, non-Hispanic",78453
