Category,Cochise
Total_doses_administered,120029
Total_people_one_dose,67608
Total_people_complete,59194
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10715
Male-55-64 years,5165
Male-45-54 years,3764
Male-20-44 years,9668
Male-Less than 20 years,2605
Female-65 years and older,12665
Female-55-64 years,6229
Female-45-54 years,4336
Female-20-44 years,9704
Female-Less than 20 years,2665
"American Indian or Alaska Native, non-Hispanic",320
"Black or African American, non-Hispanic",1254
"Asian or Pacific Islander, non-Hispanic",1299
Unknown,9076
Other Race,10284
Hispanic or Latino,16375
"White, non-Hispanic",29000
