Category,Santa Cruz
Total_doses_administered,69338
Total_people_one_dose,38855
Total_people_complete,34843
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3596
Male-55-64 years,2623
Male-45-54 years,3024
Male-20-44 years,7608
Male-Less than 20 years,2487
Female-65 years and older,4354
Female-55-64 years,2669
Female-45-54 years,2887
Female-20-44 years,7019
Female-Less than 20 years,2519
"American Indian or Alaska Native, non-Hispanic",17
"Black or African American, non-Hispanic",34
"Asian or Pacific Islander, non-Hispanic",98
Other Race,2024
Unknown,2342
"White, non-Hispanic",4796
Hispanic or Latino,29544
