Category,Coconino
Total_doses_administered,150021
Total_people_one_dose,82531
Total_people_complete,73994
Total_doses_ordered,97508
total_pouluation,147275
Male-65 years and older,7723
Male-55-64 years,6014
Male-45-54 years,5427
Male-20-44 years,16338
Male-Less than 20 years,3123
Female-65 years and older,8818
Female-55-64 years,6752
Female-45-54 years,5567
Female-20-44 years,18850
Female-Less than 20 years,3838
"Black or African American, non-Hispanic",593
"Asian or Pacific Islander, non-Hispanic",1226
Hispanic or Latino,5777
Other Race,9549
Unknown,16953
"American Indian or Alaska Native, non-Hispanic",17227
"White, non-Hispanic",31206
