Category,Coconino
Total_doses_administered,143877
Total_people_one_dose,78298
Total_people_complete,71502
Total_doses_ordered,95930
total_pouluation,147275
Male-65 years and older,7469
Male-55-64 years,5814
Male-45-54 years,5138
Male-20-44 years,15445
Male-Less than 20 years,2546
Female-65 years and older,8564
Female-55-64 years,6561
Female-45-54 years,5367
Female-20-44 years,17983
Female-Less than 20 years,3336
"Black or African American, non-Hispanic",549
"Asian or Pacific Islander, non-Hispanic",1158
Hispanic or Latino,5209
Other Race,9131
"American Indian or Alaska Native, non-Hispanic",16036
Unknown,16503
"White, non-Hispanic",29712
