Category,Maricopa
Total_doses_administered,2775747
Total_people_one_dose,1567547
Total_people_complete,1386595
Total_doses_ordered,1535817
total_pouluation,4367835
Male-65 years and older,173657
Male-55-64 years,118664
Male-45-54 years,113581
Male-20-44 years,254972
Male-Less than 20 years,59437
Female-65 years and older,225870
Female-55-64 years,138414
Female-45-54 years,127762
Female-20-44 years,280191
Female-Less than 20 years,63270
"American Indian or Alaska Native, non-Hispanic",33872
"Black or African American, non-Hispanic",58401
"Asian or Pacific Islander, non-Hispanic",76178
Unknown,153442
Other Race,244553
Hispanic or Latino,264832
"White, non-Hispanic",736269
