Category,Yavapai
Total_doses_administered,181140
Total_people_one_dose,103110
Total_people_complete,87729
Total_doses_ordered,165060
total_pouluation,232386
Male-65 years and older,23319
Male-55-64 years,8077
Male-45-54 years,4544
Male-20-44 years,8694
Male-Less than 20 years,1614
Female-65 years and older,29116
Female-55-64 years,10436
Female-45-54 years,5327
Female-20-44 years,8878
Female-Less than 20 years,1795
"Black or African American, non-Hispanic",492
"American Indian or Alaska Native, non-Hispanic",1017
"Asian or Pacific Islander, non-Hispanic",1334
Hispanic or Latino,5987
Other Race,15961
Unknown,26470
"White, non-Hispanic",51849
