Category,Santa Cruz
Total_doses_administered,64831
Total_people_one_dose,35660
Total_people_complete,32836
Total_doses_ordered,48042
total_pouluation,53161
Male-65 years and older,3526
Male-55-64 years,2532
Male-45-54 years,2875
Male-20-44 years,6914
Male-Less than 20 years,1977
Female-65 years and older,4265
Female-55-64 years,2576
Female-45-54 years,2720
Female-20-44 years,6225
Female-Less than 20 years,1983
"American Indian or Alaska Native, non-Hispanic",14
"Black or African American, non-Hispanic",28
"Asian or Pacific Islander, non-Hispanic",91
Other Race,1961
Unknown,2229
"White, non-Hispanic",4631
Hispanic or Latino,26706
