Category,Navajo
Total_doses_administered,61805
Total_people_one_dose,34460
Total_people_complete,30260
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6115
Male-55-64 years,2778
Male-45-54 years,1903
Male-20-44 years,3871
Male-Less than 20 years,2414
Female-65 years and older,6581
Female-55-64 years,3080
Female-45-54 years,1936
Female-20-44 years,3211
Female-Less than 20 years,2539
"Black or African American, non-Hispanic",194
"Asian or Pacific Islander, non-Hispanic",349
Unknown,1816
Hispanic or Latino,1938
Other Race,7501
"American Indian or Alaska Native, non-Hispanic",9456
"White, non-Hispanic",13206
