Category,Greenlee
Total_doses_administered,8266
Total_people_one_dose,4675
Total_people_complete,4172
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,539
Male-55-64 years,585
Male-45-54 years,482
Male-20-44 years,983
Male-Less than 20 years,43
Female-65 years and older,516
Female-55-64 years,404
Female-45-54 years,360
Female-20-44 years,718
Female-Less than 20 years,43
"Black or African American, non-Hispanic",43
"Asian or Pacific Islander, non-Hispanic",48
"American Indian or Alaska Native, non-Hispanic",83
Other Race,126
Unknown,371
"White, non-Hispanic",1937
Hispanic or Latino,2067
