Category,Greenlee
Total_doses_administered,9266
Total_people_one_dose,4363
Total_people_complete,3756
total_pouluation,4363
Male-65 years and older,514
Male-55-64 years,370
Male-45-54 years,325
Male-20-44 years,786
Male-Less than 20 years,219
Female-65 years and older,515
Female-55-64 years,318
Female-45-54 years,326
Female-20-44 years,759
Female-Less than 20 years,229
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",53
Other Race,90
"American Indian or Alaska Native, non-Hispanic",121
Unknown,313
"White, non-Hispanic",1778
Hispanic or Latino,1965
