Category,La Paz
Total_doses_administered,17817
Total_people_one_dose,8888
Total_people_complete,7516
total_pouluation,8888
Male-65 years and older,2399
Male-55-64 years,610
Male-45-54 years,327
Male-20-44 years,669
Male-Less than 20 years,364
Female-65 years and older,2429
Female-55-64 years,735
Female-45-54 years,371
Female-20-44 years,599
Female-Less than 20 years,367
"Black or African American, non-Hispanic",39
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",526
Other Race,1170
Hispanic or Latino,1332
Unknown,1836
"White, non-Hispanic",3896
