Category,Cochise
Total_doses_administered,160444
Total_people_one_dose,80135
Total_people_complete,66604
total_pouluation,80135
Male-65 years and older,11172
Male-55-64 years,5477
Male-45-54 years,4290
Male-20-44 years,11522
Male-Less than 20 years,5288
Female-65 years and older,13095
Female-55-64 years,6513
Female-45-54 years,4812
Female-20-44 years,12215
Female-Less than 20 years,5650
"American Indian or Alaska Native, non-Hispanic",357
"Asian or Pacific Islander, non-Hispanic",1463
"Black or African American, non-Hispanic",1559
Unknown,9407
Other Race,11823
Hispanic or Latino,22589
"White, non-Hispanic",32937
