Category,Apache
Total_doses_administered,59723
Total_people_one_dose,29050
Total_people_complete,22572
total_pouluation,29050
Male-65 years and older,2772
Male-55-64 years,2019
Male-45-54 years,1617
Male-20-44 years,3839
Male-Less than 20 years,3943
Female-65 years and older,3335
Female-55-64 years,2175
Female-45-54 years,1589
Female-20-44 years,3735
Female-Less than 20 years,4018
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",132
Hispanic or Latino,568
Unknown,1106
Other Race,1135
"White, non-Hispanic",3629
"American Indian or Alaska Native, non-Hispanic",22421
