Category,Gila
Total_doses_administered,55118
Total_people_one_dose,25922
Total_people_complete,22855
total_pouluation,25922
Male-65 years and older,5795
Male-55-64 years,2224
Male-45-54 years,1252
Male-20-44 years,2383
Male-Less than 20 years,695
Female-65 years and older,6191
Female-55-64 years,2593
Female-45-54 years,1393
Female-20-44 years,2565
Female-Less than 20 years,773
"Black or African American, non-Hispanic",89
"Asian or Pacific Islander, non-Hispanic",204
Hispanic or Latino,1423
"American Indian or Alaska Native, non-Hispanic",2650
Other Race,4142
Unknown,4570
"White, non-Hispanic",12844
