Category,Mohave
Total_doses_administered,181766
Total_people_one_dose,89556
Total_people_complete,76075
total_pouluation,89556
Male-65 years and older,20801
Male-55-64 years,8190
Male-45-54 years,4258
Male-20-44 years,7447
Male-Less than 20 years,1754
Female-65 years and older,22985
Female-55-64 years,9536
Female-45-54 years,4815
Female-20-44 years,7629
Female-Less than 20 years,1963
"Black or African American, non-Hispanic",609
"American Indian or Alaska Native, non-Hispanic",731
"Asian or Pacific Islander, non-Hispanic",1345
Hispanic or Latino,7100
Unknown,11512
Other Race,14333
"White, non-Hispanic",53926
