Category,Navajo
Total_doses_administered,98293
Total_people_one_dose,48747
Total_people_complete,40357
total_pouluation,48747
Male-65 years and older,7298
Male-55-64 years,3569
Male-45-54 years,2687
Male-20-44 years,5762
Male-Less than 20 years,4303
Female-65 years and older,8228
Female-55-64 years,4090
Female-45-54 years,2705
Female-20-44 years,5660
Female-Less than 20 years,4409
"Black or African American, non-Hispanic",204
"Asian or Pacific Islander, non-Hispanic",352
Unknown,2291
Hispanic or Latino,2467
Other Race,6282
"White, non-Hispanic",15939
"American Indian or Alaska Native, non-Hispanic",21212
