Category,Graham
Total_doses_administered,43150
Total_people_one_dose,20962
Total_people_complete,18459
total_pouluation,20962
Male-65 years and older,2394
Male-55-64 years,1580
Male-45-54 years,1438
Male-20-44 years,3563
Male-Less than 20 years,1121
Female-65 years and older,2905
Female-55-64 years,1721
Female-45-54 years,1417
Female-20-44 years,3597
Female-Less than 20 years,1214
"Asian or Pacific Islander, non-Hispanic",84
"Black or African American, non-Hispanic",92
Other Race,1298
Hispanic or Latino,3769
Unknown,4092
"American Indian or Alaska Native, non-Hispanic",5197
"White, non-Hispanic",6430
