Category,Maricopa
Total_doses_administered,5497007
Total_people_one_dose,2628268
Total_people_complete,2296224
total_pouluation,2628268
Male-65 years and older,284424
Male-55-64 years,187815
Male-45-54 years,182202
Male-20-44 years,435540
Male-Less than 20 years,144781
Female-65 years and older,355545
Female-55-64 years,211366
Female-45-54 years,197593
Female-20-44 years,466668
Female-Less than 20 years,147874
"American Indian or Alaska Native, non-Hispanic",51371
"Black or African American, non-Hispanic",101424
"Asian or Pacific Islander, non-Hispanic",132783
Unknown,175885
Other Race,425856
Hispanic or Latino,439978
"White, non-Hispanic",1300971
