Category,Yuma
Total_doses_administered,307287
Total_people_one_dose,155626
Total_people_complete,126669
total_pouluation,155626
Male-65 years and older,16320
Male-55-64 years,10383
Male-45-54 years,9165
Male-20-44 years,27899
Male-Less than 20 years,12200
Female-65 years and older,18876
Female-55-64 years,11093
Female-45-54 years,10106
Female-20-44 years,26299
Female-Less than 20 years,12695
"Black or African American, non-Hispanic",824
"American Indian or Alaska Native, non-Hispanic",1159
"Asian or Pacific Islander, non-Hispanic",1198
Other Race,18649
Unknown,29002
"White, non-Hispanic",34071
Hispanic or Latino,70723
