Category,Coconino
Total_doses_administered,200403
Total_people_one_dose,93986
Total_people_complete,81511
total_pouluation,93986
Male-65 years and older,9386
Male-55-64 years,6331
Male-45-54 years,5773
Male-20-44 years,17056
Male-Less than 20 years,5961
Female-65 years and older,10568
Female-55-64 years,7111
Female-45-54 years,5858
Female-20-44 years,19455
Female-Less than 20 years,6221
"Black or African American, non-Hispanic",778
"Asian or Pacific Islander, non-Hispanic",1619
Hispanic or Latino,7059
Other Race,8624
Unknown,12660
"American Indian or Alaska Native, non-Hispanic",22383
"White, non-Hispanic",40863
