Category,Maricopa
Total_doses_administered,5294665
Total_people_one_dose,2585944
Total_people_complete,2278438
total_pouluation,2585944
Male-65 years and older,281612
Male-55-64 years,185851
Male-45-54 years,180166
Male-20-44 years,429554
Male-Less than 20 years,136614
Female-65 years and older,352260
Female-55-64 years,209334
Female-45-54 years,195608
Female-20-44 years,460436
Female-Less than 20 years,140068
"American Indian or Alaska Native, non-Hispanic",50151
"Black or African American, non-Hispanic",99339
"Asian or Pacific Islander, non-Hispanic",129815
Unknown,172660
Other Race,421376
Hispanic or Latino,428721
"White, non-Hispanic",1283882
