Category,Gila
Total_doses_administered,53398
Total_people_one_dose,25627
Total_people_complete,22715
total_pouluation,25627
Male-65 years and older,5730
Male-55-64 years,2205
Male-45-54 years,1242
Male-20-44 years,2359
Male-Less than 20 years,664
Female-65 years and older,6141
Female-55-64 years,2579
Female-45-54 years,1391
Female-20-44 years,2526
Female-Less than 20 years,732
"Black or African American, non-Hispanic",87
"Asian or Pacific Islander, non-Hispanic",201
Hispanic or Latino,1397
"American Indian or Alaska Native, non-Hispanic",2612
Other Race,4036
Unknown,4595
"White, non-Hispanic",12699
