Category,Graham
Total_doses_administered,41504
Total_people_one_dose,20600
Total_people_complete,18287
total_pouluation,20600
Male-65 years and older,2369
Male-55-64 years,1562
Male-45-54 years,1421
Male-20-44 years,3515
Male-Less than 20 years,1059
Female-65 years and older,2872
Female-55-64 years,1705
Female-45-54 years,1395
Female-20-44 years,3540
Female-Less than 20 years,1150
"Asian or Pacific Islander, non-Hispanic",82
"Black or African American, non-Hispanic",88
Other Race,1281
Hispanic or Latino,3660
Unknown,4056
"American Indian or Alaska Native, non-Hispanic",5101
"White, non-Hispanic",6332
