Category,Mohave
Total_doses_administered,174836
Total_people_one_dose,88028
Total_people_complete,75176
total_pouluation,88028
Male-65 years and older,20367
Male-55-64 years,8070
Male-45-54 years,4189
Male-20-44 years,7314
Male-Less than 20 years,1693
Female-65 years and older,22652
Female-55-64 years,9408
Female-45-54 years,4755
Female-20-44 years,7505
Female-Less than 20 years,1899
"Black or African American, non-Hispanic",589
"American Indian or Alaska Native, non-Hispanic",712
"Asian or Pacific Islander, non-Hispanic",1315
Hispanic or Latino,6904
Unknown,11496
Other Race,14157
"White, non-Hispanic",52855
