Category,Arizona
Total_doses_administered,9110346
Total_people_complete,435356
total_pouluation,7189020
Total_people_one_dose,4512731
Male-65 years and older,554955
Male-55-64 years,322685
Male-45-54 years,291436
Male-20-44 years,721111
Male-Less than 20 years,241034
Female-65 years and older,676774
Female-55-64 years,367669
Female-45-54 years,314561
Female-20-44 years,754107
Female-Less than 20 years,248638
"Black or African American, non-Hispanic",135652
"Asian or Pacific Islander, non-Hispanic",171088
"American Indian or Alaska Native, non-Hispanic",190134
Unknown,413776
Other Race,652509
Hispanic or Latino,826295
"White, non-Hispanic",2123277
