Category,Santa Cruz
Total_doses_administered,103392
Total_people_one_dose,54044
Total_people_complete,43631
total_pouluation,54044
Male-65 years and older,4619
Male-55-64 years,3205
Male-45-54 years,3350
Male-20-44 years,8899
Male-Less than 20 years,5817
Female-65 years and older,5572
Female-55-64 years,3484
Female-45-54 years,3611
Female-20-44 years,9167
Female-Less than 20 years,6239
"Black or African American, non-Hispanic",55
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",184
Other Race,3420
Unknown,3610
"White, non-Hispanic",7376
Hispanic or Latino,39343
