Category,Apache
Total_doses_administered,56156
Total_people_one_dose,27941
Total_people_complete,22163
total_pouluation,27941
Male-65 years and older,2717
Male-55-64 years,1975
Male-45-54 years,1578
Male-20-44 years,3703
Male-Less than 20 years,3680
Female-65 years and older,3274
Female-55-64 years,2107
Female-45-54 years,1544
Female-20-44 years,3611
Female-Less than 20 years,3744
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",128
Hispanic or Latino,552
Unknown,1093
Other Race,1097
"White, non-Hispanic",3591
"American Indian or Alaska Native, non-Hispanic",21421
