Category,Yavapai
Total_doses_administered,233013
Total_people_one_dose,114991
Total_people_complete,97368
total_pouluation,114991
Male-65 years and older,25432
Male-55-64 years,9027
Male-45-54 years,4946
Male-20-44 years,9989
Male-Less than 20 years,2738
Female-65 years and older,31148
Female-55-64 years,11444
Female-45-54 years,5907
Female-20-44 years,10202
Female-Less than 20 years,3010
"Black or African American, non-Hispanic",532
"Asian or Pacific Islander, non-Hispanic",1384
"American Indian or Alaska Native, non-Hispanic",1396
Hispanic or Latino,7821
Other Race,16916
Unknown,19463
"White, non-Hispanic",67479
