Category,Greenlee
Total_doses_administered,8789
Total_people_one_dose,4254
Total_people_complete,3708
total_pouluation,4254
Male-65 years and older,507
Male-55-64 years,368
Male-45-54 years,322
Male-20-44 years,772
Male-Less than 20 years,192
Female-65 years and older,508
Female-55-64 years,317
Female-45-54 years,320
Female-20-44 years,746
Female-Less than 20 years,200
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",50
Other Race,84
"American Indian or Alaska Native, non-Hispanic",115
Unknown,309
"White, non-Hispanic",1746
Hispanic or Latino,1907
