Category,Cochise
Total_doses_administered,151786
Total_people_one_dose,77900
Total_people_complete,65578
total_pouluation,77900
Male-65 years and older,10971
Male-55-64 years,5365
Male-45-54 years,4193
Male-20-44 years,11287
Male-Less than 20 years,4823
Female-65 years and older,12934
Female-55-64 years,6401
Female-45-54 years,4712
Female-20-44 years,11943
Female-Less than 20 years,5171
"American Indian or Alaska Native, non-Hispanic",346
"Asian or Pacific Islander, non-Hispanic",1432
"Black or African American, non-Hispanic",1523
Unknown,9179
Other Race,11629
Hispanic or Latino,21417
"White, non-Hispanic",32374
