,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3300877,903475,12910,55248,91989,32658,11171,6858,10686,1217225,65818,32791,455873,140396,25996,112256,88875
Total_people_one_dose,2089065,592134,7667,36622,54707,20087,6947,3895,6726,763159,44783,21104,294671,90739,17095,68134,60595
Total_people_complete,1296945,,,,,,,,,,,,,,,,
Total_doses_ordered,3198240,,,,,,,,,,,,,,,,
65 years and older,516975,,,,,,,,,,,,,,,,
55-64 years,231351,,,,,,,,,,,,,,,,
45-54 years,132593,,,,,,,,,,,,,,,,
20-44 years,271316,,,,,,,,,,,,,,,,
Less than 20 years,17239,,,,,,,,,,,,,,,,
65 years and older,60595,,,,,,,,,,,,,,,,
55-64 years,184587,,,,,,,,,,,,,,,,
45-54 years,100730,,,,,,,,,,,,,,,,
20-44 years,200816,,,,,,,,,,,,,,,,
Less than 20 years,12993,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",39701,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",55325,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",64047,,,,,,,,,,,,,,,,
Hispanic or Latino,210558,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",301907,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",382445,,,,,,,,,,,,,,,,
"White, non-Hispanic",1035082,,,,,,,,,,,,,,,,
