Category,Maricopa
Total_doses_administered,3285086
Total_people_one_dose,1860977
Total_people_complete,1620771
Total_doses_ordered,1689183
total_pouluation,4367835
Male-65 years and older,188775
Male-55-64 years,133169
Male-45-54 years,134725
Male-20-44 years,319393
Male-Less than 20 years,90103
Female-65 years and older,243879
Female-55-64 years,153080
Female-45-54 years,148420
Female-20-44 years,345186
Female-Less than 20 years,92355
"American Indian or Alaska Native, non-Hispanic",40392
"Black or African American, non-Hispanic",73074
"Asian or Pacific Islander, non-Hispanic",84693
Unknown,183823
Other Race,283892
Hispanic or Latino,347760
"White, non-Hispanic",847343
