Category,La Paz
Total_doses_administered,18421
Total_people_one_dose,10157
Total_people_complete,9051
Total_doses_ordered,19400
total_pouluation,22085
Male-65 years and older,3195
Male-55-64 years,706
Male-45-54 years,352
Male-20-44 years,612
Male-Less than 20 years,193
Female-65 years and older,3092
Female-55-64 years,868
Female-45-54 years,374
Female-20-44 years,529
Female-Less than 20 years,210
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",78
"American Indian or Alaska Native, non-Hispanic",249
Hispanic or Latino,1158
Other Race,1159
Unknown,2715
"White, non-Hispanic",4763
