Category,Mohave
Total_doses_administered,165097
Total_people_one_dose,93982
Total_people_complete,78739
Total_doses_ordered,135940
total_pouluation,216985
Male-65 years and older,22217
Male-55-64 years,8785
Male-45-54 years,4617
Male-20-44 years,7848
Male-Less than 20 years,1518
Female-65 years and older,24749
Female-55-64 years,10219
Female-45-54 years,4921
Female-20-44 years,7311
Female-Less than 20 years,1632
"Black or African American, non-Hispanic",670
"American Indian or Alaska Native, non-Hispanic",980
"Asian or Pacific Islander, non-Hispanic",1359
Hispanic or Latino,6870
Unknown,16057
Other Race,16333
"White, non-Hispanic",51713
